                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5428,                0.76831,                  1.097,                0.66245,                0.83019,                0.77803,                0.34105,                 1.8352,                0.87423,                 1.0738,               0.008878,               0.008878,               0.008878
                     36,                 1.5488,                0.76704,                 1.0847,                0.66352,                0.85581,                0.76165,                0.28828,                 1.9299,                0.94376,                 1.1018,               0.008845,               0.008845,               0.008845
                     37,                 1.5353,                0.75857,                 1.0795,                0.86196,                0.75472,                0.84256,                0.37412,                 1.8393,                 0.8112,                 1.0727,               0.008812,               0.008812,               0.008812
                     38,                 1.5482,                0.75814,                 1.0968,                0.72133,                0.79245,                 0.7371,                0.33679,                 1.8895,                0.88591,                 1.0973,               0.008779,               0.008779,               0.008779
                     39,                 1.5416,                0.76181,                  1.088,                0.70504,                0.85696,                0.82305,                0.35091,                 1.8487,                0.86207,                 1.0795,               0.008746,               0.008746,               0.008746
                     40,                 1.5274,                0.76111,                 1.0839,                0.78831,                0.73585,                0.77184,                0.35034,                 1.8604,                0.88331,                 1.0762,               0.008713,               0.008713,               0.008713
                     41,                 1.5321,                0.75088,                  1.089,                0.76227,                0.81132,                0.84241,                0.39654,                 1.7741,                0.82749,                 1.0686,                0.00868,                0.00868,                0.00868
                     42,                 1.5118,                0.73718,                 1.0839,                0.63745,                 0.8626,                0.71474,                0.28505,                 1.8999,                0.86646,                 1.1054,               0.008647,               0.008647,               0.008647
                     43,                 1.5318,                0.74449,                 1.0914,                0.81575,                0.73585,                0.82902,                 0.3852,                 1.7926,                0.80729,                 1.0683,               0.008614,               0.008614,               0.008614
                     44,                 1.5236,                0.74694,                 1.0828,                0.72936,                0.84906,                0.83159,                0.36281,                 1.8738,                0.81969,                 1.0811,               0.008581,               0.008581,               0.008581
                     45,                 1.5312,                0.74409,                 1.0889,                0.70189,                0.84412,                0.74961,                0.33031,                 1.8702,                0.81228,                 1.0904,               0.008548,               0.008548,               0.008548
                     46,                 1.5214,                0.73346,                 1.0842,                0.78448,                0.77358,                0.78698,                0.36822,                 1.8064,                0.81551,                 1.0723,               0.008515,               0.008515,               0.008515
                     47,                 1.5063,                0.72599,                 1.0731,                0.81421,                0.79245,                0.84114,                0.36223,                 1.7815,                0.80377,                  1.061,               0.008482,               0.008482,               0.008482
                     48,                  1.511,                0.71752,                  1.079,                0.85519,                0.75472,                 0.8029,                 0.3697,                 1.8049,                0.79432,                 1.0732,               0.008449,               0.008449,               0.008449
                     49,                 1.4935,                0.72553,                 1.0706,                0.73573,                0.86792,                0.75905,                0.31368,                 1.8084,                0.83419,                 1.0691,               0.008416,               0.008416,               0.008416
                     50,                 1.4954,                0.71491,                  1.072,                0.82085,                0.86457,                0.76421,                0.29143,                 1.8666,                0.77749,                 1.0877,               0.008383,               0.008383,               0.008383
                     51,                 1.4844,                 0.7055,                 1.0776,                0.77334,                0.77252,                0.80345,                0.37261,                 1.7952,                0.81677,                  1.065,                0.00835,                0.00835,                0.00835
                     52,                  1.497,                0.70788,                 1.0663,                0.80771,                0.81132,                0.86279,                0.41112,                 1.8463,                 0.7749,                 1.0749,               0.008317,               0.008317,               0.008317
                     53,                 1.4821,                0.71477,                 1.0743,                0.82969,                0.73534,                0.78752,                0.39631,                 1.7309,                0.89932,                 1.0494,               0.008284,               0.008284,               0.008284
                     54,                 1.4974,                0.71009,                 1.0867,                0.77103,                0.82601,                 0.7979,                0.36357,                 1.7949,                 0.8013,                  1.074,               0.008251,               0.008251,               0.008251
                     55,                 1.4809,                0.69793,                 1.0686,                0.85319,                0.71698,                0.82023,                0.37593,                 1.8229,                 0.8015,                 1.0756,               0.008218,               0.008218,               0.008218
                     56,                 1.4821,                0.70449,                 1.0667,                0.89591,                0.75472,                0.82686,                0.40486,                 1.7551,                0.78805,                 1.0517,               0.008185,               0.008185,               0.008185
                     57,                 1.5037,                0.71966,                 1.0617,                0.82481,                0.79956,                0.85483,                0.38388,                 1.8078,                0.81344,                 1.0684,               0.008152,               0.008152,               0.008152
                     58,                  1.476,                0.69475,                 1.0624,                0.78465,                0.88679,                0.85208,                0.35822,                  1.816,                0.78535,                 1.0821,               0.008119,               0.008119,               0.008119
                     59,                 1.4747,                 0.6949,                 1.0728,                0.79866,                0.86792,                0.84076,                0.38984,                 1.8001,                0.80757,                 1.0669,               0.008086,               0.008086,               0.008086
