                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6084,                 0.8146,                 1.1208,                0.79798,                0.81132,                0.84763,                0.39376,                  1.776,                0.79386,                 1.0756,               0.008878,               0.008878,               0.008878
                     36,                 1.5846,                 0.8089,                 1.1298,                 0.7469,                0.83524,                0.87369,                0.36691,                 1.7622,                0.84142,                 1.0527,               0.008845,               0.008845,               0.008845
                     37,                 1.5725,                0.78352,                 1.1189,                0.75235,                0.92453,                 0.8683,                0.39507,                 1.7643,                0.77262,                 1.0596,               0.008812,               0.008812,               0.008812
                     38,                 1.5982,                0.79702,                 1.1254,                0.79476,                0.80379,                0.83372,                0.39307,                  1.719,                0.92129,                 1.0458,               0.008779,               0.008779,               0.008779
                     39,                 1.5787,                 0.7897,                 1.1196,                0.79748,                0.81735,                0.85765,                0.39355,                 1.7528,                 0.7937,                  1.044,               0.008746,               0.008746,               0.008746
                     40,                 1.5771,                0.79513,                 1.1195,                0.80259,                0.84386,                0.82682,                0.32234,                 1.8225,                 0.7828,                 1.0649,               0.008713,               0.008713,               0.008713
                     41,                  1.573,                0.77866,                  1.114,                0.74229,                0.86956,                0.84273,                0.40171,                 1.7409,                0.80986,                 1.0588,                0.00868,                0.00868,                0.00868
                     42,                 1.5594,                0.76517,                 1.1085,                0.82428,                0.81132,                0.84708,                0.40362,                 1.7525,                0.80488,                 1.0429,               0.008647,               0.008647,               0.008647
                     43,                  1.572,                0.77141,                 1.1124,                0.78236,                0.88177,                0.85742,                0.39523,                 1.7855,                0.78918,                  1.056,               0.008614,               0.008614,               0.008614
                     44,                 1.5682,                0.77282,                 1.1139,                 0.7415,                0.79245,                0.85463,                0.39134,                 1.7069,                0.78829,                 1.0441,               0.008581,               0.008581,               0.008581
                     45,                 1.5758,                0.76729,                 1.1187,                0.84361,                0.81132,                0.85853,                0.39529,                 1.7454,                0.84675,                 1.0557,               0.008548,               0.008548,               0.008548
                     46,                 1.5533,                0.75969,                  1.107,                0.73138,                0.87338,                 0.8682,                0.38934,                 1.7378,                0.77548,                 1.0542,               0.008515,               0.008515,               0.008515
                     47,                  1.544,                0.76009,                  1.112,                  0.748,                0.84906,                0.84873,                0.39554,                 1.7865,                0.76817,                 1.0653,               0.008482,               0.008482,               0.008482
