                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4277,                0.65625,                 1.0548,                 0.8068,                0.78797,                0.79993,                0.35516,                 1.8318,                0.79058,                 1.0915,               0.008878,               0.008878,               0.008878
                     36,                 1.4301,                0.66205,                  1.045,                0.80037,                0.83019,                0.87315,                0.39013,                  1.811,                0.76847,                 1.0701,               0.008845,               0.008845,               0.008845
                     37,                 1.4219,                0.66259,                 1.0406,                0.79721,                0.83019,                0.84785,                0.36776,                 1.8336,                0.75497,                 1.0783,               0.008812,               0.008812,               0.008812
                     38,                 1.4365,                0.66104,                 1.0545,                0.78797,                0.79245,                 0.7981,                0.36109,                 1.8362,                0.81853,                 1.0799,               0.008779,               0.008779,               0.008779
                     39,                 1.4331,                0.66399,                 1.0495,                0.84869,                0.81132,                0.86545,                 0.3925,                 1.7924,                0.73918,                 1.0621,               0.008746,               0.008746,               0.008746
                     40,                 1.4206,                0.65507,                 1.0454,                0.78106,                0.80777,                0.74836,                0.33153,                 1.8524,                 0.8009,                 1.0754,               0.008713,               0.008713,               0.008713
                     41,                 1.4262,                0.64974,                 1.0529,                0.83173,                0.79245,                0.82226,                0.37782,                 1.7045,                0.77252,                 1.0528,                0.00868,                0.00868,                0.00868
                     42,                 1.4046,                0.64448,                 1.0447,                0.74339,                0.76531,                0.77803,                0.34708,                 1.8715,                0.81615,                 1.0922,               0.008647,               0.008647,               0.008647
                     43,                 1.4245,                0.66068,                 1.0562,                0.80188,                0.84011,                0.81218,                0.37389,                 1.8474,                0.77171,                 1.0737,               0.008614,               0.008614,               0.008614
                     44,                 1.4187,                0.66258,                 1.0425,                0.78937,                0.86792,                0.86974,                0.39165,                 1.7978,                0.75265,                 1.0606,               0.008581,               0.008581,               0.008581
                     45,                 1.4318,                0.65483,                  1.055,                0.70742,                0.86792,                0.77071,                0.34033,                 1.8319,                  0.787,                 1.0801,               0.008548,               0.008548,               0.008548
                     46,                 1.4224,                0.64838,                   1.05,                0.78913,                0.86792,                0.78539,                0.34009,                 1.7866,                0.74168,                 1.0714,               0.008515,               0.008515,               0.008515
